Hawaii Ocean Time-series : 01-May-2022 22:32:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, l12, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg C/m3, 
 10, 890922,  615, 1840,  1,  175,  0.023,  0.125,
 10, 890922,  630, 1900,  0,    2,  0.118,  4.100,
 10, 890922,  630, 1900,  0,   10,  0.130,  6.810,
 10, 890922,  630, 1900,  0,   45,  0.127,  4.565,
 10, 890922,  630, 1900,  0,   75,  0.109,  0.470,
 10, 890922,  630, 1900,  0,  100,  0.224,  2.255,
 10, 890922,  630, 1900,  0,  125,  0.140,  0.790,
 10, 890922,  630, 1900,  0,  150,  0.045,  0.100,
 10, 890922,  630, 1900,  0,  175,  0.023,  0.185,
 11, 891018,  615, 1800,  1,    5,  0.120,  5.225,
 11, 891018,  615, 1800,  1,   20,  0.111,  3.610,
 11, 891018,  615, 1800,  1,   45,  0.207,  6.545,
 11, 891018,  615, 1800,  1,   80,  0.259,  3.715,
 11, 891018,  615, 1800,  1,  100,  0.154,  1.190,
 11, 891018,  615, 1800,  1,  120,  0.070,  0.325,
 11, 891018,  615, 1800,  1,  160,  0.020,  0.090,
 11, 891018,  615, 1800,  1,  175,  0.015,  0.080,
 11, 891018,  545, 1745,  0,    5,  0.120,  4.620,
 11, 891018,  545, 1745,  0,   20,  0.111,  3.485,
 11, 891018,  545, 1745,  0,   45,  0.207,  5.315,
 11, 891018,  545, 1745,  0,   80,  0.259,  1.265,
 11, 891018,  545, 1745,  0,  100,  0.154,  1.150,
 11, 891018,  545, 1745,  0,  120,  0.070,  0.175,
 11, 891018,  545, 1745,  0,  160,  0.020,  0.125,
 11, 891018,  545, 1745,  0,  175,  0.015,  0.115,
 12, 891128,  545, 1820,  1,    2,  0.110,  2.090,
 12, 891128,  545, 1820,  1,   10,  0.107,  2.490,
 12, 891128,  545, 1820,  1,   20,  0.109,  5.680,
 12, 891128,  545, 1820,  1,   45,  0.115,  2.715,
 12, 891128,  545, 1820,  1,   65,  0.218,  3.835,
 12, 891128,  545, 1820,  1,   95,  0.275,  2.110,
 12, 891128,  545, 1820,  1,  110,  0.214,  0.605,
 12, 891128,  545, 1820,  1,  140,  0.052,  0.110,
 12, 891128,  600, 1820,  0,    2,  0.110,  2.430,
 12, 891128,  600, 1820,  0,   10,  0.107,  4.065,
 12, 891128,  600, 1820,  0,   20,  0.109,  2.170,
 12, 891128,  600, 1820,  0,   45,  0.115,  0.645,
 12, 891128,  600, 1820,  0,   65,  0.218,  0.370,
 12, 891128,  600, 1820,  0,   95,  0.275,  0.340,
 12, 891128,  600, 1820,  0,  110,  0.214,  0.145,
 12, 891128,  600, 1820,  0,  140,  0.052,  0.065,
 13, 900105,  535, 1900,  1,    2,  0.120,  4.680,
 13, 900105,  535, 1900,  1,   10,  0.110,  4.590,
 13, 900105,  535, 1900,  1,   40,  0.130,  3.970,
 13, 900105,  535, 1900,  1,   80,  0.190,  1.820,
 13, 900105,  535, 1900,  1,   95,  0.170,  1.545,
 13, 900105,  535, 1900,  1,  120,  0.120,  0.700,
 13, 900105,  535, 1900,  1,  145,  0.060,  0.145,
 13, 900105,  535, 1900,  1,  175,  0.010,  0.085,
 13, 900105,  645, 1840,  0,    2,  0.120,  3.580,
 13, 900105,  645, 1840,  0,   10,  0.110,  7.030,
 13, 900105,  645, 1840,  0,   40,  0.130,  3.040,
 13, 900105,  645, 1840,  0,   80,  0.190,  0.660,
 13, 900105,  645, 1840,  0,   95,  0.170,  0.725,
 13, 900105,  645, 1840,  0,  120,  0.120,  0.350,
 13, 900105,  645, 1840,  0,  145,  0.060,  0.100,
 13, 900105,  645, 1840,  0,  175,  0.010,  0.075,
